"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-01-15","OK","A+",2925,,43,,19616,19616,1847,156,,470,2589408,25547,,,2589408,,,348044,,3538,0,9516,,,,331450,306874,,0,2937452,29085,109422,,,,,0,2928413,29952
"2021-01-15","OR","A+",1737,,29,,7173,7173,444,50,,108,2765434,19971,,,2721652,,58,130246,74629,1137,0,,,,,174028,5870,,0,2895680,21108,,,,,,0,2895680,21108
"2021-01-15","PA","A+",18957,,215,,,,4848,0,,1010,3440494,12519,,,,,604,754611,666521,6047,0,,,,,,573504,,0,4195105,18566,,,,,4107015,17340,8219496,57599
"2021-01-15","PR","B",1692,1410,13,282,,,382,0,,50,305972,0,,,303412,,60,85954,80111,1138,0,61016,,,,7002,73760,,0,391926,1138,,,,,,0,310546,0
"2021-01-15","RI","A+",2005,,9,,7432,7432,384,66,,51,588709,3519,,,2117548,,35,104443,,1057,0,,,,,124747,6229,2242295,22490,2242295,22490,,,,,693152,4576,,0
"2021-01-15","SC","A+",6037,5513,103,524,16135,16135,2424,195,,473,3233785,28845,93597,,3138359,,289,375967,341597,4787,0,18678,67442,,,437023,171539,,0,3609752,33632,112275,521315,,,,0,3575382,32597
"2021-01-15","SD","A+",1629,,15,,6023,6023,227,25,,53,284571,911,,,,,40,104937,94113,425,0,,,,,,98576,,0,389508,1336,,,,,389508,1336,826852,5272
"2021-01-15","TN","A+",8311,6970,79,1341,15873,15873,3034,120,,755,5391630,28581,,,5302944,,402,676039,580743,5557,0,,103634,,,669429,602938,,0,6067669,34138,,767817,,,,0,5972373,32918
"2021-01-15","TX","A",31450,,400,,,,13953,0,,3663,13627364,117450,,,,,,2072903,1816535,27204,0,106216,132681,,,2037868,1649735,,0,15443899,139440,858535,1443336,,,,0,15443899,139440
"2021-01-15","UT","A+",1472,,12,,12351,12351,635,102,1967,210,1372156,5377,,,2133909,677,,320102,278698,2543,0,,42752,,41028,302396,263256,,0,2436305,14503,,571424,,233747,1650854,7141,2436305,14503
"2021-01-15","VA","A+",5656,4982,30,674,19741,19741,3147,146,,580,4383763,20353,,,,,362,422634,346917,4795,0,19422,79389,,,432556,34805,4730680,23966,4730680,23966,196733,836380,,,,0,,0
"2021-01-15","VI","D",24,24,0,,,,,0,,,35759,0,,,,,,2166,,0,0,,,,,,2008,,0,37925,0,,,,,38019,0,,0
